Donald,Jeb,Ben,Marco,Ted,Rand,John,Chris,Bernie,Hillary,Martin
don't think they like me very much.,"I cut taxes, $19 billion.",The Fair Tax.,He said the attack he would conduct would be a pinprick.,"And, you know, we're frustrated as conservatives.","There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.","No, no, no.",And they're giving the president a pass.,"And, I intended to tackle that issue.",How are we going to pay down student debt?,"I have put forward in your state 15 strategic goals to move our country forward again, to rebuild the truth of the American dream to get wages to go up, to make college more affordable and debt-free within the next five years, cut drug overdoses in half in the next 10 years, gun deaths in half in the next 10 years."
I'll tell you what.,"If you do that and apply conservative principles the right way, you create an environment where everybody rises up.","Looking at both of them, and evaluating them both, and I'm talking to the American people because one of the things we must recognize is that this country is of, for, and by the people.","Well, the United States military was not build to conduct pinprick attacks.","We keep winning elections, and then we don't get the outcome we want.",So it hasn't really been completely adjudicated.,I want to - I want to - I want to say something about what the senator just said.,"I put it in the list, Dana.",To make sure that our people have education and jobs rather than jail cells.,How are we going to get health care for everybody|,But one of the goals is to cut youth unemployment in half in the next three years.
I've evolved on many issues over the years.,That's how we're going to win.,"And, it's really time that the government get out of the way, and let the people be the ones who decide how they want to run their country.","If the United States military is going to be engaged by a commander-in-chief, it should only be engaged in an endeavor to win.","And, let me focus on two moments in time.","The 14th Amendment says that ""those who are here and under the jurisdiction.",No one is - no - let me - let me suggest to you we believe that we operate better in the world when our allies work with us.,We should be doing these things and forcing the president to take action.,"Well, first of all, let's remember where we were when Bush left office.","Well, I never said it wasn't legitimate.","And I propose to do that by making national service a universal option for every kid in America, to serve their country in environmental restoration, or in public health, or in other avenues in addition to the military."
And you know who else has?,Campaigning in places to give people hope that their life is better because too many people are suffering today in America.,"Well, first of all, let me say what I actually said about raising the minimum wage.",And we're not going to authorize use of force if you're not put in a position where they can win.,"Number one, in 1990, in one room was David Souter, and in another room was Edith Jones, the rock ribbed conservative on the fifth circuit court of appeals.",""" The original author of the - of the 14th Amendment said on the Senate floor that this was applying to slaves, and did not specifically apply to others.",President Bush did it in the Gulf War.,Let's force him to do what he says he's going to do.,"We were losing 800,000 jobs a month.",I said that I have answered all the questions and I will certainly be doing so again before this committee.,"And I believe that that will not only allow our kids to go to college in a more affordable way, giving them an increased Pell grant benefit, but I also know that it will do a great deal to tap that goodness within the next generation and bring it forward, bring their ethic forward."
Is Ronald Reagan evolved on many issues.,Here's what I believe.,"I was asked should it be raised, I said, probably, or possibly.","And quite frankly, people don't trust this president as commander-in-chief because of that.",George Herbert Walker Bush appointed David Souter.,"Well, I'm glad we're having a discussion about taxes because everybody laments that we lose jobs overseas, we have.",We work better when we are unified.,"Now I don't know whether he'll do it or not, but let's force him to do it.","And I know my Republican friends seem to have some amnesia on this issue, but the world's financial crisis was on - the world's financial markets system was on the verge of collapse.",But I think it would be really unfair not to look at the entire picture.,rLet me talk a little bit about veterans because another one of our - my strategic goals is full employment for the veterans of ours who come home from Iraq and Afghanista We do a very poor job of transitioning our veterans back to civilian life.
And I am pro-life.,I believe we're at the verge of the greatest time to be alive in this world.,"But, what I added, which I think is the most important thing, so, I said we need to get both sides of this issue to sit down, and talk about it.","Hold on, a second, Jake, he asked me, as well.","And then in 2005, in one room was John Roberts, in another room was my former boss, Mike Luttig, the rock ribbed conservative on the Fourth Circuit Court of Appeals George W.","Our companies, and our jobs are being chased overseas by a 70,000 page tax code, so, that's why I've chosen to get rid of the whole thing, and have one single rate, 14 and a-half percent for everybody, business, and for corporate income, and personal income.","Secondly, nobody's trusting Iran.","First of, Jake, I don't yield to anybody on how to enforce the law.",That's where we were.,This committee has spent $4.,"And I have found, as a governor attacking this problem, that the key is employment."
"And if you look at the question, I was in business.",But Washington is holding us back.,"Negotiate a reasonable minimum wage, and index that so that we never have to have this conversation again in the history of America.",I'd like to actually respond.,"Bush appointed John Roberts, and let me give you the consequences of that.","But, we also get rid of the payroll tax, so the working class would get a tax break as well.","They violate the deal, we put on the sanctions, and we have the high moral ground to talk to our allies in Europe to get them to go with us.","I'm the only person on this stage who spent seven years as a United States Attorney after September 11th, and I know how to do this.",Are we better off today than we were then?,"5 million of taxpayer money, and they said that they were trying to figure out what we could do better to protect our diplomats so that something like Benghazi wouldn't happen again.",Talkingalkin to our veterans about employment.
They asked me a question as to pro-life or choice.,"How we tax, how we regulate.","I think we also have to have two minimum wages, a starter, and a sustaining because how are young people ever going to get a job if you have such a high minimum wage that it makes it impractical to hire them|",I think I'm the first senator.,"If, instead, the President Bush had appointed Edith Jones, and Mike Luttig, which is who I would have appointed, Obamacare would have been struck down three years ago, and the marriage laws of all 50 states would be on the books.","So, I think a flat tax, eliminating the tax code, getting rid of all the loopholes, is the way to go, and it's the way we get America going again.","If they don't go with us, we slap the sanctions on anyway.","The fact is though that for 15,000 people a day to be deported every day for two years is an undertaking that almost none of us could accomplish given the current levels of funding, and the current number of law enforcement officers.",Absolutely.,There were already seven committee reports about what to do.,"There is absolutely no hand-off between the Defense Department and Veterans Affairs, let alone our state departments of Veterans Affairs."
"And I said if you let it run, that I hate the concept of abortion.","We're not embracing the energy revolution in our midst, a broken immigration system that has been politicized rather than turning it into an economic driver.","I haven't had an opportunity to weigh in on foreign policy, and I just want to mention that when the war, when the issue occurred in 2003, I suggested to President Bush that he not go to war?",The No.,"These matter, and I fought to defend the constitution my whole life and I will as president as well.","Hugh, can I - can I make a response to that?","If they fund these radical groups that threaten Israel and all of the West, then we should rip up the deal and put the sanctions back on.","Here's what we need to do, and I think this is where Donald is absolutely right.","But the truth is that for the 40 years, the great middle class of this country has been disappearing.",So I think it's pretty clear what their obvious goal is.,"And, in fact, on the DD-214, the discharge form that veterans fill out, there's not even a box on there for an email address."
I hate the concept of abortion.,We're not protecting and preserving our entitlement system or reforming for the next generation.,OK.,1 test for use of military force should be the vital national security interest of the United States.,It is true that after George W.,Can I make a response to that?,"And let me make it clear - let me make it clear if we think - if we think they're getting close to a - to developing a nuclear weapon and we get that information, you better believe that I would do everything in my power as the commander-in-chief to stop them having a nuclear weapon.","What we need to do is to secure our border, and we need to do it with more than just a wall.","And in my view what we need to do is create millions of jobs by rebuilding our crumbling infrastructure; raise the minimum wage to $15 an hour; pay equity for women workers; and our disastrous trade policies, which have cost us millions of jobs; and make every public college and university in this country tuition free.",But I'll be there.,And a lot of our veterans become ghost people.
"And then since then, I've very much evolved.",All these things languish while we have politicians in Washington using these as wedge issues.,So I just want that on the record.,"The reason why I opposed President Obama bombing Syria, is because he couldn't answer the question what do you do if chemical weapons end up in the hands of radical Islamic terrorists like al-Nusra, like Al Qaida, like ISIS?","Bush nominated John Roberts, I supported his confirmation.",May I make a response to that?,"We can have it, and we can have our allies, and we can be strong as a country, and we can project across this globe with unity, not just doing it alone.","We need to use electronics, we need to use drones, we need to use FBI, DEA, and ATF, and yes, we need to take the fingerprint of every person who comes into this country on a visa, and when they overstay their visa, we need to tap them on the shoulder, and say, ""You have overstayed your welcome, you're taking advantage of the American people.","Well, that's not true.",I'll answer their questions.,We might catch up with them eventually at the hospital.
"And what happened is friends of mine years ago were going to have a child, and it was going to be aborted.","Here's my commitment to you, because I did it as Florida.","And, you know, a lot of people are very much against us getting involved right now with global jihadism.","Now, I also want to respond to several folks up here who said we should trust this Iranian deal, see if the Iranians will comply.",That was a mistake and I regret that.,He's referred to me.,That is not what gets us where we want to get as a nation.,It's time for you to go.,"Let us be clear that the greed and recklessness and illegal behavior of Wall Street, where fraud is a business model, helped to destroy this economy and the lives of millions of people.","But tonight, I want to talk not about my e-mails, but about what the American people want from the next president of the United States.",We might catch up with them at a county jail.
And it wasn't aborted.,We can fix these things.,And they refer back to our invasion of Iraq.,Anyone who is paying attention to what Khamenei says knows that they will not comply.,"I wouldn't have nominated John Roberts, and indeed, Governor Bush pointed out why.",He's referred to me in his remarks.,"Well, I agree that we should defund Planned Parenthood.",""" If we had that kind of system in place, we wouldn't have the 11 million people we have now.",Check the record.,Thank you.,"We're a better nation than this and we need to have a transition program so that none of our veterans slip through the cracks and we need to make the first goal so that we ca then get to the Post-Traumatic Stress issues, mental health and other things."
"And that child today is a total superstar, a great, great child.","We can grow economically and restore America's leadership in the world, so that everybody has a chance to rise up.",And they seem to think that that was what caused it.,"There is a reason Khamenei refers to Israel as the little Satan, and America as the great Satan.","It wasn't that the President Bushes wanted to appoint a liberal to the court, it's that it was the easier choice.",May I make a response?,"I don't know many people in America who don't think that we should, and in my state, we're trying to figure out how to get it done, because we are threatened with the federal government taking all of our Medicaid money away.",Jake listen.,"In the 1990s - and all due respect - in the 1990s, when I had the Republican leadership and Wall Street spending billions of dollars in lobbying, when the Clinton administration, when Alan Greenspan said, ""what a great idea it would be to allow these huge banks to merge,"" Bernie Sanders fought them, and helped lead the opposition to deregulation.","Me, too.","The first goal needs to be for employment, because every person needs to be needed."
And I saw that.,"I humbly ask for your vote, whenever you're gonna get to vote, whenever the primary is.",What caused it was withdrawing from there and creating a vacuum which allowed this terrible situation to occur.,"In the middle of negotiating this treaty, Khamenei led the assembled masses in chanting, death to America.","Both David Souter and John Roberts, they didn't have a long paper trail.",Absolutely.,I think there is a way to get this done by giving governors the ability to be able to act to defund Planned Parenthood.,"While I'm as entertained as anyone by this personal back-and- forth about the history of Donald and Carly's career, for the 55-year-old construction worker out in that audience tonight who doesn't have a job, who can't fund his child's education, I've got to tell you the truth.","Today, it is my view that when you have the three largest banks in America - are much bigger than they were when we bailed them out for being too big to fail, we have got to break them up.","Me, too.",And we need our veterans back here every bit as much as we needed them abroad.
And I saw other instances.,Thank you all very much.,But it is very different from what is going on today.,I'm reminded of a great editorial cartoon.,If you had nominated Edith Jones or Mike Ludig you would have had a bloody fight and they weren't willing to spend political capital to put a strong judicial conservative on the court.,Go ahead.,"But when it comes to closing down the federal government, you gotta be very careful about that.","They could care less about your careers, they care about theirs.","I will, just a second.","Thank you, Bernie.",Sure.
"And I am very, very proud to say that I am pro-life.","I'm Jeb Bush, and I believe America's on the verge of its greatest century, and I'm ready to lead.",We're talking about global jihadists who actually want to destroy us.,"It shows the Ayatollah Khamenei saying, ""Death to all Americans,"" and then it shows John Kerry coming back, saying, ""Can we meet ya half way?","I have spent my entire life, starting from clerking for Chief Justice William Rehnquist on the United States Supreme Court, one of the most principled jurists.",May I respond?,"When we shut the government down - if we have a chance at success and it's a great principle, yes.",Let's start talking about that on this stage and stop playing - and stop playing the games.,I'll tell him.,Thank you.,Yes.
"As far as being a Republican is concerned, I come from a place, New York City, which is virtually, I mean, it is almost exclusively Democrat.","I'm a committed, conservative reformer that cut taxes, that balanced budgets, that took on the special interest in Florida, and we won.",They are an existential threat to our nation.,""" We need a commander-in-chief who will stand up and protect this country.","We have an out-of- control Court, and I give you my word, if I'm elected president, every single Supreme Court justice will faithfully follow the law and will not act like philosopher kings imposing their liberal policies on millions of Americans who need to be trusted to govern ourselves.",The remark was made that there hadn't been anyone else on the podium opposed to the Iraq War.,"The president of the United States is not going to sign this, and all we're gonna do is shut the government down, and then we're gonna open up - open it up, and the American people are gonna shake their heads and say, ""what's the story with these Republicans?","John - I'm not done yet, John.","In my view, Secretary Clinton, you do not - Congress does not regulate Wall Street.","Well, I think that President Obama has been a great moral leader on these issues, and has laid out an agenda that has been obstructed by the Republicans at every turn, so|",The - let me talk a little bit about our economy.
"And I have really started to see some of the negatives - as an example, and I have a lot of liking for this man, but the last number of months of his brother's administration were a catastrophe.","I look forward to talking tonight about how we can fix a broken Washington D.C., and create an environment where people can rise up again in this great country.",And we have to be mature enough to recognize that our children will have no future if we put our heads in the sand.,"And I'll tell you, I can't wait to stand on that debate stage with Hillary Clinton and to make abundantly clear if you vote for Hillary, you are voting for the Ayatollah Khomeini to possess a nuclear weapon and if you elect me as president, under no circumstances will a theocratic ayatollah who chants death to America ever be allowed to acquire a nuclear weapon.","I - I am not, and - and you mentioned that the U.",I've made my career as being an opponent of the Iraq War.,""" So I think there is a way to get to cutting off the funding for Planned Parenthood.","Stop - and stop playing - and Carly - Carly, listen.",Wall Street regulates Congress.,CLINTON: |,Prior to President Obama's good work - and he's done great work.
"And unfortunately, those few months gave us President Obama.",Thank you.,We have to recognize we have two choices.,Ms.,S.,I was opposed to the Syria war.,"I was in the Congress for 18 years, balanced the budget, cut taxes, got it done.","You can interrupt everybody else on this stage, you're not going to interrupt me, OK?",And we have gotta break off these banks.,"So, what we need to be doing is not only reforming criminal justice - I have talked about that at some length, including things like body cameras, but we also need to be following the recommendations of the commissioner that President Obama empanelled on policing.","He saved us from a second Great Depression, from the recklessness and the greed on Wall Street."
And you can't be happy about that.,I think the voters will make that determination.,"We either allow them the continue to progress and appear to be the winners, or we use every resource available to us to destroy them first.","Dana, I agree that English is the unifying language of our country, and everyone should learn to speak it.",Supreme Court had rightly upheld the individual right to keep and bear arms.,I was opposed to arming people who are our enemies.,"Changed welfare, went around the president to get welfare reform done.","The fact is that we don't want to hear about your careers, back and forth and volleying back and forth about who did well and who did poorly.","Going to them and saying, ""please, do the right thing"" is kind of naive.",There is an agenda there that we need to be following up on.,"Our nation's creating jobs again and we're the only species on the planet without full employment, so jobs are important, right?"
"First of all, Jeb, I am very happy that you denied that, and I appreciate that very much.",But what I know to be true is that the next president of the United States is going to have to fix an extraordinary difficult situation.,"Well, recognize that, you know, President George W.",It's important.,I was proud to lead 31 states before the U.,Iran is now stronger because Hussein is gone.,"There are ways to do it without having to shut the government down, but I'm sympathetic to the fact that we don't want this organization to get funding, and the money ought to be reprogrammed for family planning in other organizations that don't support this tactic.",You're both successful people.,"Well, I remember that meeting very well.","Similarly, we need to tackle mass incarceration, and this may be the only bi-partisan issue in the congress this year.","Without jobs, nothing works very well."
He is a true gentleman.,"This administration, with President Obama and Hillary Clinton, has created insecurity the likes of which we never would've imagined.","Bush is a great friend of ours, and we spent many wonderful days at the White House.",I want to tell you a story about someone that didn't speak English that well.,S.,Hussein was the great bulwark and counterbalance to the Iranians.,But I would not be for shutting the government down because I don't think it's going to work out.,Congratulations.,I remember it like it was yesterday.,"We actually have people on both sides of the aisle who have reached the same conclusion, that we can not keep imprisoning more people than anybody else in the world.","But here's another thing that doesn't work very well in America, unless it's going in the right direction, and that is wages."
He really is.,There's not a place in the world where we're better off today than six and a half years ago.,I haven't been there in the last seven years.,"It was my grandfather; he came to this country in the 1960s, as a - escaping Cuba.","Supreme Court defending the Second Amendment, and we won that landmark victory.","So when we complain about the Iranians, you need to remember that the Iraq War made it worse.","OK, Jake.",You know who's not successful?,"Hank Paulson, Bernanke came in, and they say, ""guys, the economy is going to collapse because Wall Street is going under.","But, I believe that the debate, and the discussion has to go further, Anderson, because we've got to do more about the lives of these children.","For the first time this side of World War II, 70 percent of us are earning the same or less than we did 12 years ago."
"One thing he did say, and I mean that.",And that requires a steadiness.,I probably have to have a food-tester.,"And he lived with us, growing up.","And indeed, just a couple of years ago, when Harry Reid and Barack Obama came after the right to keep and bear arms of millions of Americans, I was proud to lead the fight in the United States Senate to protect our right to keep and bear arms, and for that reason I was honored to be endorsed by Gun Owners of America as the strongest supporter of the Second Amendment on this stage today, and I will fight every day to defend the Bill of Rights.","Originally, Governor Bush was asked, was the Iraq War a mistake, and he said, ""No.",I don't at this point in terms of changing the incentives for investment and risk-taking.,The middle class in this country who's getting plowed over by Barack Obama and Hillary Clinton.,It's gonna take the economy with them.,That's why I started off by saying we need to be committed to making it possible for every child to live up to his or her god given potential.,"So as I look at this, I believe that we need to first and foremost remember that our economy is not money."
"The one thing he did say about me, however, was my tone.",That requires an understanding of how the world works.,"But at any rate, I didn't suggest that nothing be done.",And my grandfather loved America.,"Well, I wouldn't change the $10 bill, I'd change the $20.",We'd do it again.,But let's just stop for a second.,Let's start talking about those issues tonight and stop this childish back-and-forth between the two of you.,""" And you know what I said to Hank Paulson?","That is really hard to do if you don't have early childhood education if you don't have schools that are able to meet the needs of the people, or good housing, there's a long list.",It is people.
And I also understand that.,That requires an understanding and appreciation of American leadership in the world.,"What I suggested to President Bush is to be Kennedy-esque, in the sense that when the Russians got ahead of us in the space race, what we did is use the bully pulpit to galvanize everybody, business, industry, academia behind a national goal to put a man on the moon and bring him back safely.",He understood what was so special about this country.,I'd take Jackson off and I'd leave Alexander Hamilton right where he is as one of our Founding Fathers.,""" We have to learn sometimes the interventions backfire.",There's one person on this stage that does have a record.,"Listen, you know, Hugh, it's an important point.","I said, ""Hank, your guys - you come from Goldman Sachs.",We need a new New Deal for communities of color|,It is all of our people.
"But when you have people that are cutting Christians' heads off, when you have a world that the border and at so many places, that it is medieval times, we've never - it almost has to be as bad as it ever was in terms of the violence and the horror, we don't have time for tone.","You can't just, you know, talk about this stuff and insult leaders around the world and expect a good result.","I said, you can do the same kind of thing.",He loved Ronald Reagan; he would be very proud of the fact that we're here this evening.,And I very much agree with Marco that it should be Rosa Parks.,The Iraq War backfired and did not help us.,I'm the only person on the stage and one of the few people in this country that led the effort as the chief architect of the last time we balanced the federal budget.,"And the question is, who is going to prosecute Hillary Clinton?",Your millionaire and billionaire friends caused this problem.,"CLINTON: Well, you know, both Bill and I have been very blessed.",And we need to restore common sense wage and labor policies that make wages rise again.
We have to go out and get the job done.,"You have to do this with a steady hand, and I believe I have those skills.",Declare that within five to 10 years we will become petroleum independent.,"My grandfather instilled in me the belief that I was blessed to live in the one society in all of human history where even I, the son of a bartender and a maid, could aspire to have anything, and be anything that I was willing to work hard to achieve.","She was a principled pioneer that helped change this country, helped remedy racial injustice, and that would be an honor that would be entirely appropriate.",We're still paying the repercussions of a bad decision.,We also cut taxes.,"The Obama White House seems to have in interest, the Justice Department seems to have no interest.","How about your millionaire and billionaire friends paying for the bailout, not working families in this country?",Neither of us came from wealthy families and we've worked really hard our entire lives.,"Things we used to do, Democrats and Republicans together all the time, like keeping the minimum wage above the poverty line, paying overtime pay for overtime work."
I would be so different from what you have right now.,No.,"The moderate Arab states would have been so concerned about that, they would have turned over Osama bin Laden and anybody else you wanted on a silver platter within two weeks.","But he taught me that in Spanish, because it was the language he was most comfortable in.","You know, as a Cuban, I might go with Cohiba, and I'll tell you, I'd go with, for Heidi, Angel, because she is my angel.","We have make the decision now in Syria, should we topple Assad?","And when I left Washington in 2000, we had a $5 trillion surplus, and the economy was booming.",I think it's time to put a former federal prosecutor on the same stage as Hillary Clinton.,""" So to answer your question, no, I would not have let the economy collapse.","And I want to make sure every single person in this country has the same opportunities that he and I have had, to make the most of their God- given potential and to have the chances that they should have in America for a good education, good job training, and then good jobs.","How about this, the long deferred promise of equal pay for equal work for men and women?"
"Like, the polar opposite.",Absolutely not.,There are smart ways to do things and there are muscular ways to do things.,"And he became a conservative, even though he got his news in Spanish.",Ronald Reagan believed in America.,"Many up here wanted to topple Assad, and it's like - I said no, because if you do ISIS will now be in charge of Syria|","I had spent 10 years of my life to get us to that point, went out in the private sector, was a great experience, and went into Ohio and took an $8 billion hole and turned it into a $2 billion surplus.",And I will prosecute her during those debates on that stage for the record we're talking about here.,But it was wrong to ask the middle class to bail out Wall Street.,"I have a five point economic plan, because this inequality challenge we face, we have faced it at other points.",Making it easier for people to join labor unions instead of harder.
We have a president who doesn't have a clue.,People are supporting me because I have a proven record of conservative leadership where I cut taxes $19 billion over eight years.,And sometimes you have to look at both of those to come up with the right solution.,"And so, I do give interviews in Spanish, and here's why - because I believe that free enterprise and limited government is the best way to help people who are trying to achieve upward mobility.",If I'm elected president our friends and allies across the globe will know that we stand with them.,"If you want boots on the ground, and you want them to be our sons and daughters, you got 14 other choices.",We've had the largest amount of tax cuts of any sitting governor.,"The fact she had a private email server in her basement, using national security secrets running through it, could have been hacked by the Russians, the Chinese, or two 18-year-olds on a toot wanting to have some fun.","And by the way, I want Wall Street now to help kids in this country go to college, public colleges and universities, free with a Wall Street speculation tax.",It's absolutely right.,"And here's another one to make wages go up instead of being a drag on wages, let's get 11 million of our neighbors out of the underground shadow economy by passing comprehensive immigration reform with a pathway to citizenship for all."
"I would say he's incompetent, but I don't want to do that because that's not nice.","We shrunk the state government workforce, we created a climate that led the nation in job growth seven out of eight years.",here is no question that a lot of these problems that we have been talking about in terms of the international situation is because we are weak.,"And if they get their news in Spanish, I want them to hear that directly from me.","the bust of Winston Churchill will be back in the Oval Office, and the American embassy in Israel will be in Jerusalem.","There will always be a Bush or Clinton for you, if you want to go back to war in Iraq.","We've grown well over 300,000 jobs.",No one is answering that question from the Hillary Clinton campaign|,"Well, let me tell you, Donald Trump and his billionaire friends under my policies are going to pay a hell of a lot more in taxes today - taxes in the future than they're paying today.",It hasn't been this bad since the 1920s.,"Chris, and two other brief ones on this."
"But if you look at the deals we make, whether it's the nuclear deal with 24 hour periods - and by the way, before you get to the 24 hours, you have to go through a system.",We were one of two states to go to AAA bond rating.,It is because our Navy is so small.,Not from a translator at Univision.,Enemies across this world will know the United States is not to be trifled with.,"But the thing is, the first war was a mistake.","You see, I've done it in both places.",You know why?,"But in terms of education, this is what I think.","But if you look at the Republicans versus the Democrats when it comes to economic policy, there is no comparison.",I'm the first candidate in either party to put forward a new agenda for America's cities.
"You look at Sergeant Bergdahl, we get Bergdahl, a traitor, and they get five of the big, great killers leaders that they want.","People know that we need principle-centered leadership, a disrupter to go to Washington, D.C.",It is because our Air Force is incapable of doing the same things that it did a few years ago.,"Well, let me say that legal immigration is not an issue I read about in the newspaper.",ISIS will be defeated.,And I'm not sending our sons and our daughters back to Iraq.,I'm the only one here that has done it in both places.,"Because she knows she's wrong, and she cannot look in the mirror at herself, and she cannot tell the American people the truth.",This is the year 2015.,The economy does better when you have a Democrat in the White House and that's why we need to have a Democrat in the White House in January 2017.,"America's cities are where we have some of the worst problems of structural unemployment and where we can do the most good with investments in mobility, mass transit, a new era of workforce housing, making our cities the leading edge to this clean green environment."
We have people in Washington that don't know what they're doing.,The one guy that had some special interests that I know of that tried to get me to change my views on something - that was generous and gave me money - was Donald Trump.,It's because our Marines Corps is not ready to be deployed.,"Immigration, illegal immigration, all the good aspects of immigration and all the negative ones as well, I live with.","We will have a president willing to utter the words, ""radical Islamic terrorism,"" and the Ayatollah Khamenei will understand that he will never, ever, ever acquire nuclear weapons.",The war didn't work.,It took a lot to get us to a balanced budget.,"Well, Jake, I was named U.","A college degree today, Dana, is the equivalent of what a high school degree was 50 years ago.","Well, my plan is more comprehensive.",And then the third piece I come back to again is squaring our shoulders to climate change and training people to actually be part of the retrofitting and the distributed energ future that is America's.
Now|,He wanted casino gambling in Florida - Yes you did.,"There are a lot of problems that are going on, and we need to solve those problems, we need to build up our military|",My family's immigrants.,"Here at home, we'll reignite the promise of America.",We can amplify those who live there.,It was legitimate.,S.,And what we said 50 years ago and a hundred years ago is that every kid in this country should be able to get a high school education regardless of the income of their family.,"And frankly, it's tougher because of course we have to deal with the problem that the banks are still too big to fail.","You know, the - look, my story is not the story of the - of a Democratic conversion."
"Now, with Iran, we're making a deal, you would say, we want him.",You wanted it and you didn't get it because I was opposed to casino gambling before during and after.,"Well, let me put it this way, there has - there have been numerous studies, and they have not demonstrated that there is any correlation between vaccinations and autism.",My neighbors are all immigrants.,"Young people coming out of school, with student loans up to their eyeballs, will find instead of no jobs, two, three, four, five job opportunities.",The Kurds deserve to be armed and I'll arm them.,It was real.,"attorney by President Bush on September 10th, 2001.",I think we have to say that is true for everybody going to college.,We can never let the American taxpayer and middle class families ever have to bail out the kind of speculative behavior that we saw.,My story is the story of a Democratic upbringing.
We want out our prisoners.,And that's not - I'm not going to be bought by anybody.,"This was something that was spread widely 15 or 20 years ago, and it has not been adequately, you know, revealed to the public what's actually going on.",My in-laws are all immigrants.,How will that happen?,We can use our Air Force to amplify the forces there.,And we negotiated it.,"And that next day my wife Mary Pat did what she did every day, she traveled through the World Trade Center and went to her office two blocks from the World Trade Center.","I think we don't need a complicated system, which the secretary is talking about, the income goes down, the income goes down, if you're poor you have to work, and so forth and so on.","But we also have to worry about some of the other players - AIG, a big insurance company; Lehman Brothers, an investment bank.","And my parents taugh me that the stronger we make our country, the more our country can give back to ourselves and to our children."
"We want all these things, and we don't get anything.",No way.,Vaccines are very important.,"So I've seen every aspect of it, and I can tell you America doesn't have one immigration problem, it has three.",Through tax reform.,But the boots on the ground need to be the people who live there.,"A lot of what we're talking about here tonight as we take this position and that position, you know what?","And after those planes hit, for five-and-a-half-hours after that, I couldn't reach her, didn't know whether she was dead or alive, and we had three children at the time, 8, 5 and 1.","I pay for my program, by the way, through a tax on Wall Street speculation, which will not only make public colleges and universities tuition-free, it will substantially lower interest rates on college debt, a major crisis in this country.","There's this whole area called ""shadow banking.",And so I believe in fair market American capitalism.
"We're giving them $150 billion dollars plus, they are going to be - I'll tell you what, if Iran was a stock, you folks should go out and buy it right now because you'll quadruple - this, what's happening in Iran, is a disgrace, and it's going to lead to destruction in large portions of the world.",Believe me.,Certain ones.,"First, despite the fact that we are the most generous country in the history of the world in allowing people to come here legally, we have people still coming illegally.",We'll pass a simple flat tax and abolish the IRS.,"My goodness, I'm still upset with the Saudi Arabians for everything they do over there.","At the end of the day, America has got to work.","And I had to confront what so many thousands of others in my region had to confront, the idea I might become a single parent, the idea that my life and my children's life might be changed forever.",in order to make it possible for them to afford their education.,""" That's where the experts tell me the next potential problem could come from.","And I also, as part of those 15 strategic goals, believe, as Woodrow Wilson believed, that freedom - economic freedom also means freedom from monopoly."
I'm Donald Trump.,Not even possible.,The ones that would prevent death or crippling.,"Second, we have a legal immigration system that no longer works.","And through regulatory reform, we will repeal every word of Obamacare.",They've funded the arms that went to the jihadists.,"We've got to figure out how we come together to deal with this - with our fiscal problems because when we deal with that, we create a stronger economy for everybody.",We lost friends that day.,And I want colleges to get their costs down.,So I'm with both Senator Sanders and Governor O'Malley in putting a lot of attention onto the banks.,"I would actually agree with Senator Sanders in this sense, Chris."
"I wrote ""The Art of the Deal"".","You've got, according to your - to what you said on one of the talk shows, you got Hillary Clinton to go to your wedding because you gave her money.","There are others, there are a multitude of vaccines which probably don't fit in that category, and there should be some discretion in those cases.",It primary is built on the basis of whether you have a relative living here instead of merit.,You want to know what I'll do as president?,"They're not accepting any of the people, any of the migrants that have been - the refugees that are being pushed out of Syria.",People have a chance to rise.,We went to the funerals.,They are outrageously high in what they're charging.,And the plan that I have put forward would actually empower regulators to break up big banks if we thought they posed a risk.,We have reached the point where there's been such a concentration of corporate wealth an power in the hands of so few that it's taking opportunity out of the homes of the many.
"I say not in a braggadocious way, I've made billions and billions of dollars dealing with people all over the world, and I want to put whatever that talent is to work for this country so we have great trade deals, we make our country rich again, we make it great again.",Maybe it works for Hillary Clinton it doesn't work for anybody on this - on stage.,"But, you know, a lot of this is - is - is pushed by big government.","And third, we have 11 million or 12 million people, many of whom have been here for longer than a decade who are already here illegally.",It is real simple.,Saudi Arabia is not accepting one.,"So, you know, when we think about how we make a choice, it's the person that lands that plane.",And I will tell you that what those people wanted and what they deserved was for America to answer back against what had been done to them.,"When the Republicans - when the Republicans in the Congress and some Democrats were talking about cutting Social Security and benefits for disabled veterans, for the so-called chained CPI, I founded a caucus called the Defending Social Security Caucus.","But I want to make sure we're going to cover everybody, not what caused the problem last time, but what could cause it next time.","And whenever that happens, there's only two paths forward."
"We build our military, we take care of our vets, we get rid of Obamacare, and we have a great life altogether.",I was asked the question.,"And I think that's one of the things that people so vehemently want to get rid of, big government.",And we must deal with all three of these problems.,"I'm too agreeable, easy going.",Why are we always the world's patsies that we have to go over there and fight their wars for them?,It's not somebody that talks about it.,"And I support what President Bush did at that time, going into Afghanistan, hunting al Qaeda and its leaders, getting its sanctuary out of place, and making it as difficult around the world for them to move people and money.","My view is that when you have millions of seniors in this country trying to get by - and I don't know how they do on $11,000, $12,000, $13,000 a year - you don't cut Social Security, you expand it.",Yeah.,And only one of them i good.
